#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          64 -3.378611618079947032e+00 -3.378287488701329444e+00 1.049824353135727511e-04
          65 -3.377266679553503348e+00 -3.378271783945208995e+00 1.045353909245431989e-04
          66 -3.378159952495734419e+00 -3.378270089529308073e+00 1.029652529204821526e-04
          67 -3.378563592494591816e+00 -3.378274470170580912e+00 1.015216021548995842e-04
          68 -3.379260047829388380e+00 -3.378288963959680924e+00 1.010579484900947522e-04
          69 -3.379935467269496563e+00 -3.378312826326490104e+00 1.023718401647373007e-04
          70 -3.378617162349427883e+00 -3.378317173983960586e+00 1.010016641286889233e-04
          71 -3.378164392372515312e+00 -3.378315022130278233e+00 9.960202558471234024e-05
          72 -3.378867275180896801e+00 -3.378322692311536812e+00 9.851355526463377566e-05
          73 -3.378100602233349292e+00 -3.378319649981698980e+00 9.721102006538948276e-05
          74 -3.378117763898548009e+00 -3.378316921791386207e+00 9.593563286603828391e-05
          75 -3.378857725988289928e+00 -3.378324132514011868e+00 9.492709069126573009e-05
          76 -3.378577969750228061e+00 -3.378327472477645976e+00 9.373678924462367423e-05
          77 -3.377371973310633102e+00 -3.378315063397554940e+00 9.333718474849146620e-05
          78 -3.377310335792213181e+00 -3.378302182274409482e+00 9.302514629218910816e-05
          79 -3.378665741484105922e+00 -3.378306784289722309e+00 9.196137469881144363e-05
          80 -3.377742252464416950e+00 -3.378299727641906003e+00 9.108220061406661157e-05
          81 -3.379311465048923768e+00 -3.378312218227177866e+00 9.081014051868171208e-05
          82 -3.377645025895082753e+00 -3.378304081735323372e+00 9.006647256867195324e-05
          83 -3.378467295067045129e+00 -3.378306048161006547e+00 8.900279840611391294e-05
          84 -3.378327713083015382e+00 -3.378306306076745091e+00 8.794361469917747235e-05
          85 -3.379573845627670270e+00 -3.378321218306755469e+00 8.816422159958987924e-05
          86 -3.378968002490686295e+00 -3.378328739053080287e+00 8.745924230316660301e-05
          87 -3.379091336463449391e+00 -3.378337504540555702e+00 8.689210805428987502e-05
          88 -3.378274430109442061e+00 -3.378336787785656714e+00 8.590765388470600024e-05
          89 -3.378270216533024950e+00 -3.378336039794054724e+00 8.494565536592059722e-05
          90 -3.378123597065195494e+00 -3.378333679319289740e+00 8.403460487716768359e-05
          91 -3.378972209632963519e+00 -3.378340696135923693e+00 8.340358215144456422e-05
          92 -3.377322457041432635e+00 -3.378329628319679312e+00 8.322814196179862279e-05
          93 -3.376894973503511643e+00 -3.378314201923806603e+00 8.375066108799050519e-05
          94 -3.378757236337439185e+00 -3.378318915055866345e+00 8.299220826072788463e-05
          95 -3.377185827587234179e+00 -3.378306987819354568e+00 8.297124183076036170e-05
          96 -3.377957697253990865e+00 -3.378303349375965325e+00 8.218669568781917622e-05
          97 -3.377846692590997346e+00 -3.378298641574058347e+00 8.147413431197546795e-05
          98 -3.378587092288146021e+00 -3.378301584948692149e+00 8.069591486307613681e-05
          99 -3.378702338583083442e+00 -3.378305632965201255e+00 7.998227209296342958e-05
         100 -3.378601498920981161e+00 -3.378308591624759050e+00 7.923715307638155413e-05
