#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          53 1.316980853842840249e+00 1.317095277687851063e+00 1.380795488377783258e-05
          54 1.317189427468046459e+00 1.317097021202299212e+00 1.366188422243599682e-05
          55 1.317244945545131385e+00 1.317099710735805118e+00 1.367566062395830532e-05
          56 1.317161366116939902e+00 1.317100811724753795e+00 1.347569863717342622e-05
          57 1.317157058213352716e+00 1.317101798505255550e+00 1.327536305337222916e-05
          58 1.317090205033337291e+00 1.317101598617808733e+00 1.304798225952543695e-05
          59 1.317006366416123564e+00 1.317099984512695388e+00 1.292628120739079086e-05
          60 1.317013701252834013e+00 1.317098546458364439e+00 1.279058497198483567e-05
          61 1.317068865228269603e+00 1.317098059880821737e+00 1.259015522617256789e-05
          62 1.317116355141091155e+00 1.317098354965664964e+00 1.239054553848345677e-05
          63 1.317052239858956364e+00 1.317097622979844118e+00 1.221547272681362738e-05
          64 1.317024414875293647e+00 1.317096479103210482e+00 1.207804437718255059e-05
          65 1.317067544958621550e+00 1.317096033962524393e+00 1.190042853548989451e-05
          66 1.316881066001789558e+00 1.317092776872210269e+00 1.215767610200747973e-05
          67 1.317153276511385140e+00 1.317093679851899513e+00 1.200970469928672719e-05
          68 1.317165166306149660e+00 1.317094731123285456e+00 1.187901395655600293e-05
          69 1.317002251587832795e+00 1.317093390840163192e+00 1.178222199812749201e-05
          70 1.317199819242557579e+00 1.317094911245911604e+00 1.171159226383374069e-05
          71 1.317173304856101179e+00 1.317096015381266305e+00 1.159857088724339594e-05
          72 1.316807615271607057e+00 1.317092009824187837e+00 1.210940055109324354e-05
          73 1.317007495673994111e+00 1.317090852096103104e+00 1.199873327983075224e-05
          74 1.317152163900541018e+00 1.317091680634000950e+00 1.186515978295128866e-05
          75 1.316952999872675001e+00 1.317089831557183066e+00 1.185016278155161670e-05
          76 1.316890573056076486e+00 1.317087209734800091e+00 1.198076575761751318e-05
          77 1.317017859258417412e+00 1.317086309079262607e+00 1.185897653483575141e-05
          78 1.317021143813544182e+00 1.317085473627138015e+00 1.173632977085766741e-05
          79 1.317295015250453671e+00 1.317088126052749608e+00 1.188371522515417852e-05
          80 1.316978695380958575e+00 1.317086758169352168e+00 1.181363211295946247e-05
          81 1.316782562656521050e+00 1.317083002669193759e+00 1.225017813278184859e-05
