#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
          91 9.639969318209129057e+00 9.649715424089745142e+00 8.932394973295043920e-04
          92 9.648180694130941149e+00 9.649698742242367899e+00 8.836861309756775243e-04
          93 9.644647120828974352e+00 9.649644423732546272e+00 8.758519664611816736e-04
          94 9.653282065946813262e+00 9.649683122053973605e+00 8.673888874969544775e-04
          95 9.649983073218585616e+00 9.649686279434654068e+00 8.582642245566248895e-04
          96 9.649781567315935504e+00 9.649687272016750583e+00 8.493245461257055732e-04
          97 9.652229338643172341e+00 9.649713478889188067e+00 8.409728472759352277e-04
          98 9.645464605583233819e+00 9.649670123039127745e+00 8.335083347057300942e-04
          99 9.656366313654665134e+00 9.649737761328172070e+00 8.278288963756657128e-04
         100 9.649319006187678127e+00 9.649733573776767770e+00 8.195611984903111106e-04
